ticker,date,adjusted_close,monthly_return,volume,data_quality_flag
AAPL,2009-10-31,126.85,,80306023.0,ok
AAPL,2009-11-30,121.46584051638281,-0.042445088558275,64475452.0,ok
AAPL,2009-12-31,153.32260798881023,0.2622693535647227,45152719.0,ok
AAPL,2010-01-31,149.26706701565428,-0.026451030453721103,57511517.0,ok
AAPL,2010-02-28,141.8454285040242,-0.04972053554754807,31382290.0,ok
AAPL,2010-03-31,139.1946721336021,-0.018687640471591882,59118507.0,ok
AAPL,2010-04-30,156.68508082916608,0.12565429716143384,54228198.0,ok
AAPL,2010-05-31,156.06218299147793,-0.003975476378426213,24217009.0,ok
AAPL,2010-06-30,155.92870915116688,-0.0008552606259412121,50902638.0,ok
AAPL,2010-07-31,185.90665432840603,0.19225417397752387,111270760.0,ok
AAPL,2010-08-31,233.42281937796028,0.2555915237203745,28187660.0,ok
AAPL,2010-09-30,246.66818251090703,0.056744079984312634,69810155.0,ok
AAPL,2010-10-31,215.57575399722793,-0.1260496112517644,55702265.0,ok
AAPL,2010-11-30,269.33065684485865,0.2493550496792971,56054909.0,ok
AAPL,2010-12-31,294.09707350073063,0.09195543108981497,45198810.0,ok
AAPL,2011-01-31,270.78735990677285,-0.07925857036418238,59525976.0,ok
AAPL,2011-02-28,300.5090917575454,0.10976041075552856,50500755.0,ok
AAPL,2011-03-31,336.4538597955684,0.11961291363198989,58417275.0,ok
AAPL,2011-04-30,397.8965658607857,0.1826185204192643,86223263.0,ok
AAPL,2011-05-31,403.16600238426895,0.013243231974328973,39213365.0,ok
AAPL,2011-06-30,351.0927706020332,-0.12916077118180036,84137765.0,ok
AAPL,2011-07-31,322.31920623524036,-0.08195430602986686,92238344.0,ok
AAPL,2011-08-31,294.0263549440925,-0.08777898041390286,68892673.0,ok
AAPL,2011-09-30,303.21150342988074,0.031239201287023288,31318287.0,ok
AAPL,2011-10-31,283.9743039183759,-0.06344482083923819,80104474.0,ok
AAPL,2011-11-30,261.48267800324584,-0.07920303212221247,44710512.0,ok
AAPL,2011-12-31,255.58447869790345,-0.02255674964927956,77191236.0,ok
AAPL,2012-01-31,266.82667931147023,0.04398624153877062,32022321.0,ok
AAPL,2012-02-29,269.51035140647247,0.01005773523819764,71093434.0,ok
AAPL,2012-03-31,325.1233942523372,0.20634844842003774,73044805.0,ok
AAPL,2012-04-30,398.2492231503815,0.2249171551195399,94230391.0,ok
AAPL,2012-05-31,418.9275078731721,0.05192297566637638,75423932.0,ok
AAPL,2012-06-30,418.69951068209025,-0.0005442402009820935,76832913.0,ok
AAPL,2012-07-31,393.5584060717065,-0.06004569857133857,81169625.0,ok
AAPL,2012-08-31,448.7052554979562,0.14012367306976525,79215083.0,ok
AAPL,2012-09-30,445.8092939204012,-0.006454039800227407,48269422.0,ok
AAPL,2012-10-31,440.0513474647913,-0.01291571650508927,63554664.0,ok
AAPL,2012-11-30,516.8161377451223,0.1744450749272457,43525837.0,ok
AAPL,2012-12-31,439.8584226391371,-0.14890733761092112,73838842.0,ok
AAPL,2013-01-31,465.9006051082658,0.05920582880481495,50131927.0,ok
AAPL,2013-02-28,533.3772774631254,0.14483061755023785,54253158.0,ok
AAPL,2013-03-31,557.2200106181987,0.04470144147961297,70512213.0,ok
AAPL,2013-04-30,426.023807432781,-0.23544775974549836,42301670.0,ok
AAPL,2013-05-31,403.4570382755535,-0.05297067620050355,75558719.0,ok
